"注册日期","注册人数","绑卡人数","充值人数","投资人数","持仓人数","充值金额","累计投资笔数","累计投资金额","持仓笔数","持仓金额"
"2017-04-01",544,278,139,139,97,292596469,447,338490000,230,160200000
"2017-04-02",519,244,133,128,69,320693027,349,367790000,180,224290000
"2017-04-03",502,230,107,103,75,264889571,303,303900000,165,200600000
"2017-04-04",536,248,113,111,69,271062570,343,313800000,173,203510000
"2017-04-05",530,238,124,122,74,293312587,323,326520000,179,189260000
"2017-04-06",518,243,117,114,79,355642221,352,415110000,192,270470000
"2017-04-07",545,272,128,127,75,278557649,311,330690000,165,189860000
"2017-04-08",472,231,118,114,77,218470527,322,252860000,177,163030000
"2017-04-09",479,193,91,91,55,247566563,209,271340000,110,185900000
"2017-04-10",525,236,121,117,76,266221848,297,292060000,152,187240000
"2017-04-11",509,252,138,135,95,337087410,344,366030000,186,241730000
"2017-04-12",480,221,119,116,68,274203881,254,286160000,138,166470000
"2017-04-13",487,229,116,116,82,251307294,263,287330000,157,181030000
"2017-04-14",503,249,126,123,84,254835856,265,255660000,171,178260000
"2017-04-15",452,224,104,104,102,187824488,206,1.88e+08,185,182150000
"2017-04-16",508,223,103,100,99,225065678,174,227780000,158,202960000
"2017-04-17",576,262,119,114,113,242744923,200,231840000,191,231820000
"2017-04-18",700,285,156,153,152,268963770,231,265620000,220,258810000
"2017-04-19",586,291,154,149,149,201283400,203,201270000,196,195620000
"2017-04-20",524,221,92,90,90,125430500,125,125320000,119,124110000
"2017-04-21",221,89,25,24,24,23479500,30,20770000,27,20770000
