"","scene_str","qrcode","url"
"1","scene_str","qrcode","url"
"2","marketing_1","https://mp.weixin.qq.com/cgi-bin/showqrcode?ticket=gQH07zoAAAAAAAAAASxodHRwOi8vd2VpeGluLnFxLmNvbS9xL01VTUFGdUhsMUNLdHl1amcwMnVMAAIEGzc8VwMEAAAAAA%3D%3D","http://weixin.qq.com/q/MUMAFuHl1CKtyujg02uL"
"3","marketing_2","https://mp.weixin.qq.com/cgi-bin/showqrcode?ticket=gQGt7zoAAAAAAAAAASxodHRwOi8vd2VpeGluLnFxLmNvbS9xL2gwT04ybTNsV2lJalBGNHZYbXVMAAIEajc8VwMEAAAAAA%3D%3D","http://weixin.qq.com/q/h0ON2m3lWiIjPF4vXmuL"
"4","marketing_3","https://mp.weixin.qq.com/cgi-bin/showqrcode?ticket=gQGu7zoAAAAAAAAAASxodHRwOi8vd2VpeGluLnFxLmNvbS9xL3prTTlEOHpsOUNLTkFSZms3bXVMAAIEajc8VwMEAAAAAA%3D%3D","http://weixin.qq.com/q/zkM9D8zl9CKNARfk7muL"
"5","marketing_4","https://mp.weixin.qq.com/cgi-bin/showqrcode?ticket=gQFf7zoAAAAAAAAAASxodHRwOi8vd2VpeGluLnFxLmNvbS9xL3VFT19Wd1RsWWlJYjUyR3BiV3VMAAIEajc8VwMEAAAAAA%3D%3D","http://weixin.qq.com/q/uEO_VwTlYiIb52GpbWuL"
"6","marketing_5","https://mp.weixin.qq.com/cgi-bin/showqrcode?ticket=gQGe7zoAAAAAAAAAASxodHRwOi8vd2VpeGluLnFxLmNvbS9xL1gwTjg0cGpscWlMVEtZWVdyMnVMAAIEajc8VwMEAAAAAA%3D%3D","http://weixin.qq.com/q/X0N84pjlqiLTKYYWr2uL"
"7","marketing_6","https://mp.weixin.qq.com/cgi-bin/showqrcode?ticket=gQEA8DoAAAAAAAAAASxodHRwOi8vd2VpeGluLnFxLmNvbS9xL3IwTjJHMFRsMFNLby1IYWVwV3VMAAIEajc8VwMEAAAAAA%3D%3D","http://weixin.qq.com/q/r0N2G0Tl0SKo-HaepWuL"
"8","marketing_7","https://mp.weixin.qq.com/cgi-bin/showqrcode?ticket=gQF17zoAAAAAAAAAASxodHRwOi8vd2VpeGluLnFxLmNvbS9xL2FrTlRaSC1sOHlLS2ZiUG1nR3VMAAIEajc8VwMEAAAAAA%3D%3D","http://weixin.qq.com/q/akNTZH-l8yKKfbPmgGuL"
"9","marketing_8","https://mp.weixin.qq.com/cgi-bin/showqrcode?ticket=gQF/7zoAAAAAAAAAASxodHRwOi8vd2VpeGluLnFxLmNvbS9xLzdVTWtwWWJsX1NLQXdqUmE5MnVMAAIEazc8VwMEAAAAAA%3D%3D","http://weixin.qq.com/q/7UMkpYbl_SKAwjRa92uL"
"10","marketing_9","https://mp.weixin.qq.com/cgi-bin/showqrcode?ticket=gQEz8DoAAAAAAAAAASxodHRwOi8vd2VpeGluLnFxLmNvbS9xL2wwTklZQnpsZ0NMNTUwNkttMnVMAAIEazc8VwMEAAAAAA%3D%3D","http://weixin.qq.com/q/l0NIYBzlgCL5506Km2uL"
